,,,,Energy,,,,,,Minerals,,,,,,,Vitamins,,,,,,,,,,,,,Lipids,,,,,Other,
,,,,Energy,Protein,Total lipid (fat),Carbohydrate. by difference,Fiber. total dietary,Sugars. total,Calcium. Ca,Iron. Fe,Magnesium. Mg,Phosphorus. P,Potassium. K,Sodium. Na,Zinc. Zn,Vitamin C. total ascorbic acid,Thiamin (B1),Riboflavin (B2),Niacin (B3),Vitamin B-6,Folate. DFE,Vitamin B-12,Vitamin A. RAE,Vitamin A. IU,Vitamin E (alpha-tocopherol),Vitamin D (D2 + D3),Vitamin D,Vitamin K (phylloquinone),Fatty acids. total saturated,Fatty acids. total monounsaturated,Fatty acids. total polyunsaturated,Fatty acids. total trans,Cholesterol,Other,Caffeine
,,,Unit,kcal,g,g,g,g,g,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,mg,µg,µg,µg,IU,mg,µg,IU,µg,g,g,g,g,mg,,mg
,Stevia,drop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TOTAL,,1.06,394,13.2,5.4,51.9,8.3,0.1,43.4,3.7,138.2,408.2,336.5,1.6,3.1,0,595.2,108.6,750.1,93.1,43.7,-,0,0.5,0,-,-,0.1,0.5,0.3,0.1,-,-,-,-
,% of RDI,,,20%,26%,9%,,30%,,4%,25%,39%,82%,8%,0%,21%,0%,42513%,6787%,4167%,4653%,11%,0%,0%,,0%,0%,0%,0%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lunch 1,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Style Vegetable Slaw Salad,Green cabbage. raw,cup,2,44.5,2.3,0.2,10.3,4.5,5.7,71.2,0.8,21.4,46.3,302.6,32,0.3,65.1,0.1,0.1,0.4,0.2,76.5,-,0.1,2,0,-,-,1.5,0,0,0,-,-,-,-
,Red cabbage. raw,cup,1,27.6,1.3,0.1,6.6,1.9,3.4,40.1,0.7,14.2,26.7,216.3,24,0.2,50.7,0.1,0.1,0.4,0.2,16,-,0.6,11.2,0,-,-,0.4,0,0,0,-,-,-,-
,Carrot Raw,cup,0.0625,1.6,0,0,0.4,0.1,0.2,1.3,0,0.5,1.3,12.2,2.6,0,0.2,2.5,2.2,37.5,5.3,0.7,-,0.5,10.4,0,-,-,0,0,0,0.1,-,-,-,-
,White potato. cooked with peel,cup,0.0625,12.9,0.3,0,3,0.3,0.2,1.4,0.1,3.8,10.5,76.5,1,0,1.8,0,0,0.2,0,5.3,-,0,0,0,-,-,0,0,-,0,-,-,-,-
,Cooked cauliflower,cup,0.0625,1.8,0.1,0,0.3,0.2,0.2,1.2,0,0.7,2.5,11,1.2,0,3.4,0,0,0,0,3.4,-,0,0,0,-,-,0,0,0,0,-,-,-,-
,Tahini,cup,0.041666667,53.2,1.7,4.5,2.4,0.9,-,39.2,0.2,9,70.2,38.6,6.9,0.4,-,0.1,0,0.6,0,9.1,-,0,0,-,-,-,-,0,0,0,-,-,-,-
,Vinegar Cider,tsp,1,1.1,-,-,0,-,0,0.4,0,0.3,0.4,3.7,0.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Sage ground,tsp,0.125,0.3,0,0,0.1,0,0,1.4,0,0.4,0.1,0.9,0,0,0,0.7,0.3,0,0,0.2,-,0.4,7.4,0,-,-,2.1,0,0,0,-,-,-,-
,Thyme Dried,tsp,0.125,0.3,0,0,0.1,0,0,1.9,0.1,0.2,0.2,0.8,0.1,0,0.1,0.5,0.4,0,0,0.3,-,0.2,4.8,0,-,-,2.1,0,0,0,-,-,-,-
,Garlic powder,tsp,0.125,1.2,0.1,0,0.3,0,0,0.3,0,0.3,1.4,4.2,0.2,0,0,1.5,0.5,2.8,0,0.2,-,-,-,0,-,-,0,0.3,0.1,0.2,-,-,-,-
,Onion Powder,tsp,0.125,1,0,0,0.2,0,0,1.2,0,0.3,1,3,0.2,0,0.1,0,0,0,0,0.2,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Black Pepper,tsp,0.125,0.7,0,0,0.2,0.1,0,1.2,0,0.4,0.4,3.5,0.1,0,-,0.3,0,0,0.8,0,-,0,0.7,0,-,-,0.2,0,0.9,1.2,-,-,-,-
,Table salt,tsp,0.125,-,-,-,-,-,-,0.2,0,0,-,0.1,290.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,TOTAL,,4.979166667,146,5.8,4.9,23.8,8,9.7,160.8,2.1,51.4,161,673.3,359.2,1.1,121.5,5.8,3.6,41.9,6.5,112.1,-,1.8,36.4,0,-,-,6.4,0.3,1.1,1.5,-,-,-,-
,% of RDI,,,7%,12%,8%,,29%,,13%,14%,15%,32%,17%,24%,7%,162%,413%,224%,233%,325%,28%,0%,0%,,0%,0%,0%,8%,,,,,,,
Lunch 2,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potato Ranch Slaw Salad,Green cabbage. raw,cup,2,44.5,2.3,0.2,10.3,4.5,5.7,71.2,0.8,21.4,46.3,302.6,32,0.3,65.1,0.1,0.1,0.4,0.2,76.5,-,0.1,2,0,-,-,1.5,0,0,0,-,-,-,-
,Red cabbage. Raw,cup,1,27.6,1.3,0.1,6.6,1.9,3.4,40.1,0.7,14.2,26.7,216.3,24,0.2,50.7,0.1,0.1,0.4,0.2,16,-,0.6,11.2,0,-,-,0.4,0,0,0,-,-,-,-
,Olives. canned,cup,0.0625,9.7,0.1,0.9,0.5,0.1,-,7.4,0.5,0.3,0.3,0.7,61.6,0,0.1,-,-,0,0,-,-,0,0.2,0,-,-,0,0,0,0,-,-,-,-
,Quinoa,cup,0.5,312.8,12,5.2,54.5,6,-,40,3.9,167.5,388.5,478.6,4.3,2.6,0.3,270.3,-,1.7,414,156.4,-,0,0.1,0,-,-,-,3.5,0,0,-,-,-,-
,Tahini,cup,0.125,159.6,5,13.4,7.3,2.6,-,117.6,0.7,26.9,210.6,115.9,20.7,1.3,-,0.4,0.1,1.7,0,27.4,-,0,0.1,-,-,-,-,0,0,0,-,-,-,-
,Vinegar Cider,tsp,1,1.1,-,-,0,-,0,0.4,0,0.3,0.4,3.7,0.3,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Basil Dried,tsp,0.125,0.6,0.1,0,0.1,0.1,0,5.3,0.2,1.7,0.7,6.2,0.2,0,0,0,0,0,0,0.7,-,0,0.9,0,-,-,2.1,0,0,0.6,-,-,-,-
,Garlic. Raw,tsp,0.5,2.1,0.1,0,0.5,0,0,2.5,0,0.4,2.1,5.6,0.2,0,0.4,0,0,0,17.3,0,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Thyme Dried,tsp,0.125,0.3,0,0,0.1,0,0,1.9,0.1,0.2,0.2,0.8,0.1,0,0.1,0.5,0.4,0,0,0.3,-,0.2,4.8,0,-,-,2.1,0,0,0,-,-,-,-
,Oregano Dried,tsp,0.125,0.3,0,0,0.1,0.1,0,2,0,0.3,0.2,1.6,0,0,0,0.2,0.7,0,0,0.3,-,0.1,2.1,0,-,-,0.8,0,0,0,-,-,-,-
,Rosemary dried,tsp,0.125,0.5,0,0,0.1,0.1,-,1.9,0,0.3,0.1,1.4,0.1,0,0.1,0.8,0.6,0,0,0.5,-,0.2,3.9,-,-,-,-,0,0,0,-,-,-,-
,Dates,cup,0.020833333,10.3,0.1,0,2.7,0.3,2.3,1.4,0,1.6,2.3,23.9,0.1,0,0,0,0,0,0,0.7,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Cucumber with peel. raw,cup,0.25,5,0.2,0,1.2,0.2,0.6,5.3,0.1,4.3,8,48.9,0.7,0.1,0.9,0,0,0,0,2.3,-,0,0.3,0,-,-,0,0,0,0,-,-,-,-
,Black pepper,tsp,0.125,0.7,0,0,0.2,0.1,0,1.2,0,0.4,0.4,3.5,0.1,0,-,0.3,0,0,0.8,0,-,0,0.7,0,-,-,0.2,0,0.9,1.2,-,-,-,-
,Table salt,tsp,0.125,-,-,-,-,-,-,0.2,0,0,-,0.1,290.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,TOTAL,,6.208333333,574.9,21.1,19.9,84.2,15.8,12,298.3,7.3,239.8,686.6,"1,209.70",434.9,4.6,117.8,272.6,2,4.3,432.5,281.3,-,1.3,26.2,0.1,-,-,7.2,3.6,1,1.9,-,-,-,-
,% of RDI,,,29%,42%,33%,,56%,,25%,49%,69%,137%,30%,29%,31%,157%,19473%,125%,24%,21624%,70%,0%,0%,,1%,0%,0%,9%,,,,,,,
Lunch 3,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweet Beet Slaw Salad,Green cabbage. Raw,cup,2,44.5,2.3,0.2,10.3,4.5,5.7,71.2,0.8,21.4,46.3,302.6,32,0.3,65.1,0.1,0.1,0.4,0.2,76.5,-,0.1,2,0,-,-,1.5,0,0,0,-,-,-,-
,Red cabbage. raw,cup,1,27.6,1.3,0.1,6.6,1.9,3.4,40.1,0.7,14.2,26.7,216.3,24,0.2,50.7,0.1,0.1,0.4,0.2,16,-,0.6,11.2,0,-,-,0.4,0,0,0,-,-,-,-
,Beets. Raw,cup,0.0625,3.7,0.1,0,0.8,0.2,0.6,1.4,0.1,2,3.4,27.6,6.6,0,0.4,0,0,0,0,9.3,-,0,0,0,-,-,0,0,0,0,-,-,-,-
,Tahini,cup,0.041666667,53.2,1.7,4.5,2.4,0.9,-,39.2,0.2,9,70.2,38.6,6.9,0.4,-,0.1,0,0.6,0,9.1,-,0,0,-,-,-,-,0,0,0,-,-,-,-
,Walnuts,cup,0.0625,48.4,1.9,4.6,0.7,0.5,0.1,4.8,0.2,15.7,40.1,40.9,0.2,0.3,0.1,0,0,0,0,2.4,-,0,0,0,-,-,0,0,0,0,-,-,-,-
,Balsamic Vinegar,tsp,1,4.7,0,-,0.9,0.8,-,1.4,0,0.6,1,5.9,1.2,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,Lemon oil,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dark raisins,cup,0.03125,14,0.2,0,3.7,0.2,3.1,2.9,0.1,1.7,4.6,34.9,1.2,0,0.1,0,0,0,0,0.2,-,-,-,0,-,-,0,0,0,0,-,-,-,-
,Dates,cup,0.010416667,5.1,0,0,1.4,0.1,1.2,0.7,0,0.8,1.1,12,0,0,0,0,0,0,0,0.3,-,-,0,0,-,-,0,0,0,0,-,-,-,-
,Table Salt,tsp,0.125,-,-,-,-,-,-,0.2,0,0,-,0.1,290.7,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,TOTAL,,4.333333333,201.1,7.5,9.5,26.9,9.1,14,161.8,2.2,65.3,193.4,678.8,362.9,1.3,116.5,0.3,0.2,1.5,0.5,114,-,0.7,13.2,0,-,-,1.9,0,0,0,-,-,-,-
,% of RDI,,,10%,15%,16%,,33%,,13%,15%,19%,39%,17%,24%,8%,155%,21%,13%,8%,24%,28%,0%,0%,,0%,0%,0%,2%,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinner 1,General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roasted Chickpea & Vegetable Tacos,"Corn, sweet, white, raw",,28,24.1,0.9,0.3,5.3,0.8,0.9,0.6,0.1,10.4,24.9,75.6,4.2,0.1,1.9,0.1,0,0.5,0,12.9,-,-,0.3,0,-,-,0.1,0.1,0.1,0.2,-,-,-,-
,"Corn, sweet, white, raw",,28,24.1,0.9,0.3,5.3,0.8,0.9,0.6,0.1,10.4,24.9,75.6,4.2,0.1,1.9,0.1,0,0.5,0,12.9,-,-,0.3,0,-,-,0.1,0.1,0.1,0.2,-,-,-,-
,Red cabbage. Raw,cup,0.0625,1.7,0.1,0,0.4,0.1,0.2,2.5,0,0.9,1.7,13.5,1.5,0,3.2,0,0,0,0,1,-,0,0.7,0,-,-,0,0,0,0,-,-,-,-
,Cooked broccoli,cup,0.125,6.8,0.5,0.1,1.4,0.6,0.3,7.8,0.1,4.1,13.1,57.1,8,0.1,12.7,0,0,0.1,0,21.1,-,0.1,1.9,0,-,-,0.2,0,0,0,-,-,-,-
,Cooked carrots,cup,0.0625,3.3,0.1,0,0.8,0.3,0.3,2.8,0,0.9,2.8,22,5.4,0,0.3,0,0,0.1,0,1.3,-,0.5,,0,-,-,0,0,0,0,-,-,-,-
