Item Name,Quantity,Measure,Wgt (g),Cals (kcal),FatCals (kcal),SatCals (kcal),Prot (g),Carb (g),TotFib (g),TotSolFib (g),Sugar (g),MonSac (g),Disacc (g),OCarb (g),Fat (g),SatFat (g),MonoFat (g),PolyFat (g),TransFat (g),Chol (mg),Water (g),Vit A-IU (IU),Vit A-RAE (mcg),Caroten (mcg),Retinol (mcg),BetaCaro (mcg),Vit B1 (mg),Vit B2 (mg),Vit B3 (mg),Vit B3-NE (mg),Vit B6 (mg),Vit B12 (mcg),Biot (mcg),Vit C (mg),Vit D-IU (IU),Vit D-mcg (mcg),Vit E-a-Toco (mg),Folate (mcg),Fol_DFE (mcg DFE),Vit K (mcg),Panto (mg),Calc (mg),Chrom (mcg),Copp (mg),Fluor (mg),Iodine (mcg),Iron (mg),Magn (mg),Mang (mg),Moly (mcg),Phos (mg),Pot (mg),Sel (mcg),Sod (mg),Zinc (mg),Omega3 (g),Omega6 (g),Alc (g),Caff (mg),Chln (mg)
"    water, tap",0.019444,Quart,18.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0.01,0,0,0.18,0,0,0,0,0,0.74,0,0,0,0,0,0
"    oil, olive",0.008333,Quart,7.2,63.65,63.65,8.95,0,0,0,0,0,0,0,0,7.2,0.99,5.25,0.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03,0,0,4.33,0,0.07,0,0,0,0,0.04,0,0,0,0,0.07,0,0.14,0,0.05,0.7,0,0,0.02
    sea salt,0.009,ounce-weight,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.66,,,,,,
Total,1,Serving,47.7,153.26,89.37,11.72,3.28,14.03,3.06,0.3,0,0,0,10.93,10.06,1.3,5.41,1.52,0,0,18.42,7.25,0.36,0.73,0,0,0.09,0,0,0,0,0,0,0.1,0,0,1.03,0.52,0.52,4.33,0,22.76,0,0,0.01,0,1.2,0.56,0,0,0.12,63.71,0.01,101.14,0.01,0.78,0.7,0,0,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butternut Squash & Red Lentil Dal,1,Serving,449.5,268.76,32.96,17.67,15.65,45.28,11.49,6.44,6.22,2.46,0.43,26.66,3.66,1.96,0.18,0.1,0,0,277.34,6887.1,331.7,688.71,0,2179.26,0.19,0.04,0.82,1.13,0.19,0,1.47,46.65,0,0,0.78,70.8,34.33,98.18,0.42,101.96,0.08,0.11,0.13,0.6,4.38,45.24,0.68,5.13,42.79,732.86,0.8,759.83,0.28,0.03,0.08,0,0,15.13
"    squash, butternut, fresh, cubes",1.71667,Ounce-weight,48.67,21.9,0.44,0.09,0.49,5.69,0.97,0,1.07,0.96,0.11,3.65,0.05,0.01,0,0.02,0,0,42.05,5173.27,258.66,517.33,0,2056.65,0.05,0.01,0.58,0.7,0.07,0,0,10.22,0,0,0.7,13.14,13.14,0.54,0.19,23.36,0,0.04,0,0,0.34,16.55,0.1,2.43,16.06,171.31,0.24,1.95,0.07,0.01,0.01,0,0,0
"    cauliflower florets, fresh",0.833333,Ounce-weight,23.62,5.91,0.6,0.28,0.45,1.17,0.47,0.17,0.45,0.45,0,0.25,0.07,0.03,0.01,0.01,0,0,21.75,0,0,0,0,0,0.01,0.01,0.12,0.2,0.04,0,0.4,11.39,0,0,0.02,13.47,13.47,3.66,0.16,5.2,0,0.01,0,0,0.1,3.54,0.04,1.18,10.39,70.64,0.14,7.09,0.06,0,0,0,0,10.47
"    onion, white, fresh, chopped",0.066667,Pound,30.24,12.1,0.27,0.11,0.33,2.82,0.51,0,1.28,0.98,0.3,1.03,0.03,0.01,0,0.01,0,0,26.95,0.6,0.03,0.06,0,0.3,0.01,0.01,0.04,0.11,0.04,0,1.06,2.24,0,0,0.01,5.75,5.75,0.12,0.04,6.96,0,0.01,0,0.6,0.06,3.02,0.04,1.51,8.77,44.15,0.15,1.21,0.05,0,0,0,0,1.84
"    garlic cloves, fresh",0.033333,Ounce-weight,0.94,1.41,0.04,0.01,0.06,0.31,0.02,0,0.01,0,0,0.28,0,0,0,0,0,0,0.55,0.09,0,0.01,0,0.05,0,0,0.01,0.02,0.01,0,0,0.29,0,0,0,0.03,0.03,0.02,0.01,1.71,0,0,0,0,0.02,0.24,0.02,0,1.45,3.79,0.13,0.16,0.01,0,0,0,0,0.22
"    ginger root, fresh",0.016667,Pound,7.56,6.05,0.51,0.14,0.14,1.34,0.15,0,0.13,0,0,1.06,0.06,0.02,0.01,0.01,0,0,5.96,0,0,0,0,0,0,0,0.06,0.07,0.01,0,0,0.38,0,0,0.02,0.83,0.83,0.01,0.02,1.21,0,0.02,0,0,0.05,3.25,0.02,0,2.57,31.37,0.05,0.98,0.03,0,0.01,0,0,2.18
"    lentils, red, dry",1.48333,Ounce-weight,42.05,152.1,8.05,0,11.63,25.05,6.26,6.26,0.89,0,0,17.89,0.89,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.89,0,0,0,0,2.42,0,0,0,0,384.73,0,4.47,0,0,0,0,0,0
"    tomatoes, crushed, canned, unsalted, food service",2.55,Ounce-weight,72.29,26.29,0,0,1.19,5.38,1.79,0,1.79,0,0,1.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.9,0,0,0,0,0,0
"    water, tap",0.1875,Quart,177.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0,0.02,0.13,0,0,1.78,0,0,0,0,0,7.1,0.02,0,0,0,0,0
"    spinach, baby, fresh",0.683333,Ounce-weight,19.37,4.56,0,0,0.46,0.68,0.46,0,0,0,0,0.23,0,0,0,0,0,0,0,1253.49,62.67,125.35,0,0,0,0,0,0,0,0,0,5.47,0,0,0,36.47,0,92.99,0,18.23,0,0,0,0,0.62,13.67,0.18,0,0,0,0,14.81,0,0,0,0,0,0
"    black pepper, ground",0.016667,Ounce-weight,0.47,1.19,0.14,0.06,0.05,0.3,0.12,0,0,0,0,0.18,0.02,0.01,0,0,0,0,0.06,2.58,0.13,0.26,0,1.46,0,0,0.01,0.01,0,0,0,0,0,0,0,0.08,0.08,0.77,0.01,2.09,0.08,0.01,0,0,0.05,0.81,0.06,0,0.75,6.28,0.02,0.09,0.01,0,0,0,0,0.05
"    lemon juice, fresh",0.010417,Cup,2.54,0.56,0.05,0.01,0.01,0.18,0.01,0,0.06,0.05,0.01,0.1,0.01,0,0,0,0,0,2.35,0.15,0.01,0.02,0,0.03,0,0,0,0,0,0,0.01,0.98,0,0,0,0.51,0.51,0,0,0.15,0,0,0,0,0,0.15,0,0,0.2,2.62,0,0.03,0,0,0,0,0,0.13
"    oil, coconut",0.010417,Cup,2.27,20.22,20.21,16.82,0,0,0,0,0,0,0,0,2.25,1.87,0.14,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.01
    saffron powder,0.016667,Ounce-weight,0.47,1.46,0.25,0.07,0.05,0.31,0.02,0,0,0,0,0,0.03,0.01,0,0.01,0,0,0.06,2.5,0.13,0.25,0,0,0,0,0.01,0.01,0,0,0,0.38,0,0,0,0.44,0.44,0,0,0.52,0,0,0,0,0.05,1.25,0.13,0,1.19,8.15,0.03,0.7,0.01,0.01,0,0,0,0
"    turmeric, ground",0.016667,Ounce-weight,0.47,1.47,0.14,0.08,0.05,0.32,0.11,0,0.02,0,0.01,0.19,0.02,0.01,0,0,0,0,0.06,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0.02,0.09,0.09,0.06,0,0.79,0,0.01,0,0,0.26,0.98,0.09,0,1.41,9.83,0.03,0.13,0.02,0,0,0,0,0.23
"    coriander seed, ground",0.016667,Ounce-weight,0.47,2.1,0.8,0,0.07,0.26,0.25,0,0,0,0,0,0.09,0,0,0,0,0,0.03,0.24,0.01,0.02,0,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,0.02,0,0,0,0,0,0,0.11,0,0,0,0,0,0
"    cumin seeds, ground",0.016667,Ounce-weight,0.47,2.1,0.99,0,0.09,0.19,0.17,0,0,0,0,0,0.11,0,0,0,0,0,0.05,2.13,0.11,0.21,0,1.28,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,3.92,0,0,0,0,0.16,0,0,0,0,0,0,0.94,0,0,0,0,0,0
"    paprika, ground",0.016667,Ounce-weight,0.47,1.75,0.47,0,0.07,0.26,0.17,0,0,0,0,0,0.05,0,0,0,0,0,0.05,198.92,9.95,19.89,0,119.35,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0.99,0,0,0,0,0.06,0,0,0,0,0,0,0.5,0,0,0,0,0,0
"    broccolette, fresh, organic",0.625,Ounce-weight,17.72,7.59,0,0,0.51,1.01,0,0,0.51,0,0,0,0,0,0,0,0,0,0,253.12,0,25.31,0,0,0,0,0,0,0,0,0,15.19,0,0,0,0,0,0,0,10.12,0,0,0,0,0.18,0,0,0,0,0,0,5.06,0,0,0,0,0,0
    sea salt,0.063,ounce-weight,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,690.59,,,,,,
